id,area,feature,user_story,expected_behavior,paths,test_method,status,last_result,issues,fixed_in,retest_status,screenshot,source_basis
MOB-011,Blueprint funnel,Mobile page load: /ai-office-blueprint,"As a mobile visitor, I can open /ai-office-blueprint and see usable content without broken rendering.","HTTP 2xx/3xx, no visible app error, no horizontal overflow, meaningful mobile content renders.",/ai-office-blueprint,"Playwright mobile 393x759 route render, console/page-error capture, horizontal-overflow check, first-fold screenshot.",pass,"200 title=Free AI Office Blueprint | Stanley Systems h1=Get the Free
AI Office Blueprint",,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,app/**/page.tsx + app/sitemap.ts + rendered DOM
MOB-012,Blueprint funnel,CTA/link: tel:+16179586372,"As a mobile visitor on /ai-office-blueprint, I can tap “tel:+16179586372” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> tel:+16179586372,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,device handoff link present,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-013,Blueprint funnel,CTA/link: Start Free,"As a mobile visitor on /ai-office-blueprint, I can tap “Start Free” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> /ai-office-blueprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-blueprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-014,Blueprint funnel,CTA/link: Map,"As a mobile visitor on /ai-office-blueprint, I can tap “Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-015,Blueprint funnel,CTA/link: Stanley Systems,"As a mobile visitor on /ai-office-blueprint, I can tap “Stanley Systems” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> /,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-016,Blueprint funnel,CTA/link: Get the AI Office Map,"As a mobile visitor on /ai-office-blueprint, I can tap “Get the AI Office Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-017,Blueprint funnel,CTA/link: Need the full Map instead?,"As a mobile visitor on /ai-office-blueprint, I can tap “Need the full Map instead?” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-018,Blueprint funnel,CTA/link: AI Office Map,"As a mobile visitor on /ai-office-blueprint, I can tap “AI Office Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-019,Blueprint funnel,CTA/link: Free AI Office Blueprint,"As a mobile visitor on /ai-office-blueprint, I can tap “Free AI Office Blueprint” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-blueprint -> /ai-office-blueprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-blueprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered mobile DOM anchors
MOB-020,Blueprint funnel,Form/interactive flow: /ai-office-blueprint,"As a mobile visitor, I can see and use the form or interactive flow on /ai-office-blueprint without layout blocking.",Fields/buttons are visible and large enough for mobile; validation should prevent incomplete submissions; production side-effect submissions require explicit approval before live POST testing.,/ai-office-blueprint,"Side-effect-safe render inspection. Found 0 form(s), 45 interactive anchors/buttons. No live POST submission performed.",pass,"{""forms"":[]}",,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/011-ai-office-blueprint.png,Rendered forms/buttons + source fetch calls searched separately
MOB-021,AI Office Map funnel,Mobile page load: /ai-office-map,"As a mobile visitor, I can open /ai-office-map and see usable content without broken rendering.","HTTP 2xx/3xx, no visible app error, no horizontal overflow, meaningful mobile content renders.",/ai-office-map,"Playwright mobile 393x759 route render, console/page-error capture, horizontal-overflow check, first-fold screenshot.",pass,200 title=Stanley Systems | AI Office Map h1=Find the Office Work AI Should Remove First.,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,app/**/page.tsx + app/sitemap.ts + rendered DOM
MOB-022,AI Office Map funnel,CTA/link: tel:+16179586372,"As a mobile visitor on /ai-office-map, I can tap “tel:+16179586372” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> tel:+16179586372,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,device handoff link present,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-023,AI Office Map funnel,CTA/link: Start Free,"As a mobile visitor on /ai-office-map, I can tap “Start Free” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> /ai-office-blueprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-blueprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-024,AI Office Map funnel,CTA/link: Map,"As a mobile visitor on /ai-office-map, I can tap “Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-025,AI Office Map funnel,CTA/link: Stanley Systems,"As a mobile visitor on /ai-office-map, I can tap “Stanley Systems” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> /,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-026,AI Office Map funnel,CTA/link: Book the AI Office Map,"As a mobile visitor on /ai-office-map, I can tap “Book the AI Office Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> https://buy.stripe.com/3cI7sKcHZder5I5cFkg7e09,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://buy.stripe.com/3cI7sKcHZder5I5cFkg7e09,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-027,AI Office Map funnel,CTA/link: Get the Free Blueprint,"As a mobile visitor on /ai-office-map, I can tap “Get the Free Blueprint” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> /ai-office-blueprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-blueprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-028,AI Office Map funnel,CTA/link: Buy the AI Office Map,"As a mobile visitor on /ai-office-map, I can tap “Buy the AI Office Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> https://buy.stripe.com/3cI7sKcHZder5I5cFkg7e09,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://buy.stripe.com/3cI7sKcHZder5I5cFkg7e09,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-029,AI Office Map funnel,CTA/link: Privacy Policy,"As a mobile visitor on /ai-office-map, I can tap “Privacy Policy” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/ai-office-map -> /privacy-policy,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/privacy-policy,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered mobile DOM anchors
MOB-030,AI Office Map funnel,Form/interactive flow: /ai-office-map,"As a mobile visitor, I can see and use the form or interactive flow on /ai-office-map without layout blocking.",Fields/buttons are visible and large enough for mobile; validation should prevent incomplete submissions; production side-effect submissions require explicit approval before live POST testing.,/ai-office-map,"Side-effect-safe render inspection. Found 1 form(s), 44 interactive anchors/buttons. No live POST submission performed.",pass,"{""forms"":[{""inputs"":[{""name"":"""",""type"":""text"",""required"":true,""placeholder"":""Jane Smith""},{""name"":"""",""type"":""text"",""required"":true,""placeholder"":""Company name""},{""name"":"""",""type"":""email"",""required"":true,""placeholder"":""jane@company.com""},{""name"":"""",""type"":""tel"",""required"":false,""placeholder"":""+1 (555) 123-4567""},{""name"":"""",""type"":""text"",""required"":true,""placeholder"":""HVAC, plumbing, marine, electrical, landscaping, etc.""},{""name"":"""",""type"":""textarea"",""required"":true,""placeholder"":""Example: I want to know if this can help with billing prep, estimate follow-up, job notes, or admin handoffs.""},{""name"":"""",""type"":""checkbox"",""required"":false,""placeholder"":""""}],""submits"":[""Send info request""]}]}",,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/021-ai-office-map.png,Rendered forms/buttons + source fetch calls searched separately
MOB-031,Site page,Mobile page load: /pricing,"As a mobile visitor, I can open /pricing and see usable content without broken rendering.","HTTP 2xx/3xx, no visible app error, no horizontal overflow, meaningful mobile content renders.",/pricing,"Playwright mobile 393x759 route render, console/page-error capture, horizontal-overflow check, first-fold screenshot.",pass,200 title=Pricing | AI Office Map | Stanley Systems h1=Start free. Map the work. Install the first AI office workflow. Keep it running.,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,app/**/page.tsx + app/sitemap.ts + rendered DOM
MOB-032,Site page,CTA/link: tel:+16179586372,"As a mobile visitor on /pricing, I can tap “tel:+16179586372” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> tel:+16179586372,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,device handoff link present,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-033,Site page,CTA/link: Start Free,"As a mobile visitor on /pricing, I can tap “Start Free” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> /ai-office-blueprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-blueprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-034,Site page,CTA/link: Map,"As a mobile visitor on /pricing, I can tap “Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-035,Site page,CTA/link: Stanley Systems,"As a mobile visitor on /pricing, I can tap “Stanley Systems” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> /,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-036,Site page,CTA/link: Get the Free Blueprint,"As a mobile visitor on /pricing, I can tap “Get the Free Blueprint” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> /ai-office-blueprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-blueprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-037,Site page,CTA/link: Book the AI Office Map,"As a mobile visitor on /pricing, I can tap “Book the AI Office Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-038,Site page,CTA/link: See the AI Office Installation Sprint,"As a mobile visitor on /pricing, I can tap “See the AI Office Installation Sprint” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> /systems-installation-sprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/systems-installation-sprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-039,Site page,CTA/link: Ask about AI Office Ops,"As a mobile visitor on /pricing, I can tap “Ask about AI Office Ops” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/pricing -> /contact?path=ai-office-ops,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/contact?path=ai-office-ops,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered mobile DOM anchors
MOB-040,Site page,Form/interactive flow: /pricing,"As a mobile visitor, I can see and use the form or interactive flow on /pricing without layout blocking.",Fields/buttons are visible and large enough for mobile; validation should prevent incomplete submissions; production side-effect submissions require explicit approval before live POST testing.,/pricing,"Side-effect-safe render inspection. Found 0 form(s), 44 interactive anchors/buttons. No live POST submission performed.",pass,"{""forms"":[]}",,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/031-pricing.png,Rendered forms/buttons + source fetch calls searched separately
MOB-041,Systems / Sprint,Mobile page load: /systems-installation-sprint,"As a mobile visitor, I can open /systems-installation-sprint and see usable content without broken rendering.","HTTP 2xx/3xx, no visible app error, no horizontal overflow, meaningful mobile content renders.",/systems-installation-sprint,"Playwright mobile 393x759 route render, console/page-error capture, horizontal-overflow check, first-fold screenshot.",pass,200 title=Stanley Systems | AI Office Map h1=Get more done with the team you already have.,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,app/**/page.tsx + app/sitemap.ts + rendered DOM
MOB-042,Systems / Sprint,CTA/link: tel:+16179586372,"As a mobile visitor on /systems-installation-sprint, I can tap “tel:+16179586372” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> tel:+16179586372,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,device handoff link present,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-043,Systems / Sprint,CTA/link: Start Free,"As a mobile visitor on /systems-installation-sprint, I can tap “Start Free” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> /ai-office-blueprint,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-blueprint,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-044,Systems / Sprint,CTA/link: Map,"As a mobile visitor on /systems-installation-sprint, I can tap “Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-045,Systems / Sprint,CTA/link: Stanley Systems,"As a mobile visitor on /systems-installation-sprint, I can tap “Stanley Systems” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> /,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-046,Systems / Sprint,"CTA/link: Compare Map, Sprint, and Ops","As a mobile visitor on /systems-installation-sprint, I can tap “Compare Map, Sprint, and Ops” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> /pricing,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/pricing,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-047,Systems / Sprint,CTA/link: Privacy Policy,"As a mobile visitor on /systems-installation-sprint, I can tap “Privacy Policy” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> /privacy-policy,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/privacy-policy,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-048,Systems / Sprint,CTA/link: Terms,"As a mobile visitor on /systems-installation-sprint, I can tap “Terms” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> /terms-and-conditions,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/terms-and-conditions,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-049,Systems / Sprint,CTA/link: AI Office Map,"As a mobile visitor on /systems-installation-sprint, I can tap “AI Office Map” and go to the intended destination.",Visible tap target has a valid destination; internal HTTP target resolves successfully; tel/mail links remain device handoffs.,/systems-installation-sprint -> /ai-office-map,Rendered mobile DOM anchor discovery + safe HTTP target check; no production form submits.,pass,200 https://stanley-systems.com/ai-office-map,,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered mobile DOM anchors
MOB-050,Systems / Sprint,Form/interactive flow: /systems-installation-sprint,"As a mobile visitor, I can see and use the form or interactive flow on /systems-installation-sprint without layout blocking.",Fields/buttons are visible and large enough for mobile; validation should prevent incomplete submissions; production side-effect submissions require explicit approval before live POST testing.,/systems-installation-sprint,"Side-effect-safe render inspection. Found 1 form(s), 43 interactive anchors/buttons. No live POST submission performed.",pass,"{""forms"":[{""inputs"":[{""name"":"""",""type"":""text"",""required"":true,""placeholder"":""Jane Smith""},{""name"":"""",""type"":""text"",""required"":true,""placeholder"":""Company name""},{""name"":"""",""type"":""email"",""required"":true,""placeholder"":""jane@company.com""},{""name"":"""",""type"":""tel"",""required"":false,""placeholder"":""+1 (555) 123-4567""},{""name"":"""",""type"":""text"",""required"":true,""placeholder"":""HVAC, plumbing, marine, electrical, landscaping, etc.""},{""name"":"""",""type"":""textarea"",""required"":true,""placeholder"":""Example: make finished jobs billing-ready faster, clean up estimate follow-up, summarize job notes, or route admin tasks to the right person.""},{""name"":"""",""type"":""checkbox"",""required"":true,""placeholder"":""""}],""submits"":[""Start the Sprint conversation""]}]}",,,pass,/home/jaden/.openclaw/workspace/Stanley-Systems-Landing-Page/qa/browser-screenshots/041-systems-installation-sprint.png,Rendered forms/buttons + source fetch calls searched separately
