id,area,feature,user_story,expected_behavior,paths,test_method,status,last_result,issues,fixed_in,retest_status
PAGE-ABOUT,Public page,About,"As a visitor, I want the About page/feature to load and explain the next useful Stanley Systems step.","/about returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/about,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/about title=Stanley Systems | AI Office Map links=37 inputs=0,,,Pass
PAGE-BLUEPRINT,Lead magnet,AI Office Blueprint,"As a visitor, I want the AI Office Blueprint page/feature to load and explain the next useful Stanley Systems step.","/ai-office-blueprint returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Blueprint, office",/ai-office-blueprint,HTTP/DOM/link smoke + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/ai-office-blueprint title=Free AI Office Blueprint | Stanley Systems links=38 inputs=2 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
PAGE-MAP,Paid offer,AI Office Map,"As a visitor, I want the AI Office Map page/feature to load and explain the next useful Stanley Systems step.","/ai-office-map returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: AI Office Map, $197",/ai-office-map,HTTP/DOM/link smoke + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/ai-office-map title=Stanley Systems | AI Office Map links=40 inputs=7 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
PAGE-PRICING,Pricing,pricing page,"As a visitor, I want the pricing page page/feature to load and explain the next useful Stanley Systems step.","/pricing returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Pricing, AI Office",/pricing,HTTP/DOM/link smoke + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/pricing title=Pricing | AI Office Map | Stanley Systems links=41 inputs=0 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
PAGE-SPRINT,Paid offer,systems installation sprint,"As a visitor, I want the systems installation sprint page/feature to load and explain the next useful Stanley Systems step.","/systems-installation-sprint returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Installation Sprint, workflow",/systems-installation-sprint,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/systems-installation-sprint title=Stanley Systems | AI Office Map links=39 inputs=7,,,Pass
PAGE-HELP,Audience,who Stanley Systems helps,"As a visitor, I want the who Stanley Systems helps page/feature to load and explain the next useful Stanley Systems step.","/who-stanley-systems-helps returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: service, business",/who-stanley-systems-helps,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/who-stanley-systems-helps title=Stanley Systems | AI Office Map links=35 inputs=0,,,Pass
PAGE-CONTACT,Contact,contact page,"As a visitor, I want the contact page page/feature to load and explain the next useful Stanley Systems step.","/contact returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Contact, Stanley Systems",/contact,HTTP/DOM/link smoke + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/contact title=Stanley Systems | AI Office Map links=41 inputs=10 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
PAGE-SAFETY,Trust/legal,safety page,"As a visitor, I want the safety page page/feature to load and explain the next useful Stanley Systems step.","/safety returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Safety",/safety,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/safety title=Stanley Systems | AI Office Map links=35 inputs=0,,,Pass
PAGE-PRIVACY,Trust/legal,privacy policy,"As a visitor, I want the privacy policy page/feature to load and explain the next useful Stanley Systems step.","/privacy-policy returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Privacy",/privacy-policy,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/privacy-policy title=Privacy Policy | Stanley Systems links=35 inputs=0,,,Pass
PAGE-TERMS,Trust/legal,terms page,"As a visitor, I want the terms page page/feature to load and explain the next useful Stanley Systems step.","/terms returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Terms",/terms,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/terms title=Terms | Stanley Systems links=35 inputs=0,,,Pass
PAGE-TERMS-CONDITIONS,Trust/legal,terms and conditions page,"As a visitor, I want the terms and conditions page page/feature to load and explain the next useful Stanley Systems step.","/terms-and-conditions returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Terms",/terms-and-conditions,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/terms-and-conditions title=Terms of Service | Stanley Systems links=35 inputs=0,,,Pass
PAGE-CASE-STUDY,Proof,case study page,"As a visitor, I want the case study page page/feature to load and explain the next useful Stanley Systems step.","/stanley-systems-case-study returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/stanley-systems-case-study,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/stanley-systems-case-study title=Stanley Systems Case Study | Field Service Office Workflow links=38 inputs=0,,,Pass
PAGE-BLOG,Content,blog index,"As a visitor, I want the blog index page/feature to load and explain the next useful Stanley Systems step.","/blog returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Blog",/blog,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/blog title=Stanley Systems | AI Office Map links=41 inputs=0,,,Pass
BLOG-why-the-plumber-waits-3-weeks-to,Content,blog post why-the-plumber-waits-3-weeks-to-get-paid,"As a visitor, I want the blog post why-the-plumber-waits-3-weeks-to-get-paid page/feature to load and explain the next useful Stanley Systems step.","/blog/why-the-plumber-waits-3-weeks-to-get-paid returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/blog/why-the-plumber-waits-3-weeks-to-get-paid,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/blog/why-the-plumber-waits-3-weeks-to-get-paid title=Why Plumbers Wait Weeks to Get Paid | Stanley Systems links=37 inputs=0,,,Pass
BLOG-the-estimate-that-went-cold-and-,Content,blog post the-estimate-that-went-cold-and-the-4000-job,"As a visitor, I want the blog post the-estimate-that-went-cold-and-the-4000-job page/feature to load and explain the next useful Stanley Systems step.","/blog/the-estimate-that-went-cold-and-the-4000-job returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/blog/the-estimate-that-went-cold-and-the-4000-job,HTTP/DOM/link smoke,Pass,"code=200 final=https://stanley-systems.com/blog/the-estimate-that-went-cold-and-the-4000-job title=The Estimate That Went Cold and the $4,000 Job | Stanley Systems links=37 inputs=0",,,Pass
BLOG-real-cost-of-slow-invoicing-serv,Content,blog post real-cost-of-slow-invoicing-service-business,"As a visitor, I want the blog post real-cost-of-slow-invoicing-service-business page/feature to load and explain the next useful Stanley Systems step.","/blog/real-cost-of-slow-invoicing-service-business returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/blog/real-cost-of-slow-invoicing-service-business,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/blog/real-cost-of-slow-invoicing-service-business title=The Real Cost of Slow Invoicing in a Service Business | Stanley Systems links=37 inputs=0,,,Pass
BLOG-why-most-automation-projects-fai,Content,blog post why-most-automation-projects-fail-before-helping-team,"As a visitor, I want the blog post why-most-automation-projects-fail-before-helping-team page/feature to load and explain the next useful Stanley Systems step.","/blog/why-most-automation-projects-fail-before-helping-team returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/blog/why-most-automation-projects-fail-before-helping-team,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/blog/why-most-automation-projects-fail-before-helping-team title=Why Most Automation Projects Fail Before They Help the Team | Stanley Systems links=37 inputs=0,,,Pass
BLOG-what-trustworthy-automation-part,Content,blog post what-trustworthy-automation-partner-should-deliver,"As a visitor, I want the blog post what-trustworthy-automation-partner-should-deliver page/feature to load and explain the next useful Stanley Systems step.","/blog/what-trustworthy-automation-partner-should-deliver returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/blog/what-trustworthy-automation-partner-should-deliver,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/blog/what-trustworthy-automation-partner-should-deliver title=What a Trustworthy Automation Partner Should Actually Deliver | Stanley Systems links=37 inputs=0,,,Pass
PROBLEM-field-service-automation,Problem/industry SEO,field service automation,"As a visitor, I want the field service automation page/feature to load and explain the next useful Stanley Systems step.","/field-service-automation returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/field-service-automation,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/field-service-automation title=Field Service Automation | Stanley Systems links=41 inputs=0,,,Pass
PROBLEM-marine-service-automation,Problem/industry SEO,marine service automation,"As a visitor, I want the marine service automation page/feature to load and explain the next useful Stanley Systems step.","/marine-service-automation returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/marine-service-automation,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/marine-service-automation title=Marine Service Automation | Stanley Systems links=38 inputs=0,,,Pass
PROBLEM-service-business-billing-pro,Problem/industry SEO,billing process fix,"As a visitor, I want the billing process fix page/feature to load and explain the next useful Stanley Systems step.","/service-business-billing-process-fix returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/service-business-billing-process-fix,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/service-business-billing-process-fix title=Service Business Billing Process Fix | Stanley Systems links=39 inputs=0,,,Pass
PROBLEM-speed-up-invoicing-for-servi,Problem/industry SEO,speed up invoicing,"As a visitor, I want the speed up invoicing page/feature to load and explain the next useful Stanley Systems step.","/speed-up-invoicing-for-service-businesses returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/speed-up-invoicing-for-service-businesses,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/speed-up-invoicing-for-service-businesses title=Speed Up Invoicing for Service Businesses | Stanley Systems links=44 inputs=0,,,Pass
PROBLEM-work-order-to-invoice-proces,Problem/industry SEO,work order to invoice,"As a visitor, I want the work order to invoice page/feature to load and explain the next useful Stanley Systems step.","/work-order-to-invoice-process-for-service-businesses returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/work-order-to-invoice-process-for-service-businesses,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/work-order-to-invoice-process-for-service-businesses title=Work Order to Invoice Process Fix | Stanley Systems links=39 inputs=0,,,Pass
PROBLEM-missed-estimate-follow-up-fo,Problem/industry SEO,missed estimate follow-up,"As a visitor, I want the missed estimate follow-up page/feature to load and explain the next useful Stanley Systems step.","/missed-estimate-follow-up-for-service-businesses returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/missed-estimate-follow-up-for-service-businesses,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/missed-estimate-follow-up-for-service-businesses title=Missed Estimate Follow-Up for Service Businesses | Stanley Systems links=46 inputs=0,,,Pass
PROBLEM-office-handoff-problems-in-f,Problem/industry SEO,office handoff problems,"As a visitor, I want the office handoff problems page/feature to load and explain the next useful Stanley Systems step.","/office-handoff-problems-in-field-service-businesses returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/office-handoff-problems-in-field-service-businesses,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/office-handoff-problems-in-field-service-businesses title=Office Handoff Problems in Field Service Businesses | Stanley Systems links=45 inputs=0,,,Pass
IND-plumbing,Industry pages,plumbing,"As a visitor, I want the plumbing page/feature to load and explain the next useful Stanley Systems step.","/industries/plumbing returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/plumbing,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/plumbing title=Plumbing AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
IND-roofing,Industry pages,roofing,"As a visitor, I want the roofing page/feature to load and explain the next useful Stanley Systems step.","/industries/roofing returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/roofing,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/roofing title=Roofing AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
IND-landscaping,Industry pages,landscaping,"As a visitor, I want the landscaping page/feature to load and explain the next useful Stanley Systems step.","/industries/landscaping returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/landscaping,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/landscaping title=Landscaping AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
IND-hvac,Industry pages,hvac,"As a visitor, I want the hvac page/feature to load and explain the next useful Stanley Systems step.","/industries/hvac returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/hvac,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/hvac title=HVAC AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
IND-marine,Industry pages,marine,"As a visitor, I want the marine page/feature to load and explain the next useful Stanley Systems step.","/industries/marine returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/marine,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/marine title=Marine Service AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
IND-electrical,Industry pages,electrical,"As a visitor, I want the electrical page/feature to load and explain the next useful Stanley Systems step.","/industries/electrical returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/electrical,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/electrical title=Electrical AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
IND-general-contractors,Industry pages,general-contractors,"As a visitor, I want the general-contractors page/feature to load and explain the next useful Stanley Systems step.","/industries/general-contractors returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/general-contractors,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/general-contractors title=General Contractors AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
IND-adjacent-service-businesses,Industry pages,adjacent-service-businesses,"As a visitor, I want the adjacent-service-businesses page/feature to load and explain the next useful Stanley Systems step.","/industries/adjacent-service-businesses returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/industries/adjacent-service-businesses,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/industries/adjacent-service-businesses title=Service Businesses AI Office Workflows | Stanley Systems links=37 inputs=0,,,Pass
DOC-ai-office-blueprint-md,Machine-readable docs,ai-office-blueprint.md,"As a visitor, I want the ai-office-blueprint.md page/feature to load and explain the next useful Stanley Systems step.","/ai-office-blueprint.md returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/ai-office-blueprint.md,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/ai-office-blueprint.md title= links=0 inputs=0,,,Pass
DOC-ai-office-map-md,Machine-readable docs,ai-office-map.md,"As a visitor, I want the ai-office-map.md page/feature to load and explain the next useful Stanley Systems step.","/ai-office-map.md returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/ai-office-map.md,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/ai-office-map.md title= links=0 inputs=0,,,Pass
DOC-pricing-md,Machine-readable docs,pricing.md,"As a visitor, I want the pricing.md page/feature to load and explain the next useful Stanley Systems step.","/pricing.md returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/pricing.md,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/pricing.md title= links=0 inputs=0,,,Pass
DOC-systems-installation-sprint-md,Machine-readable docs,systems-installation-sprint.md,"As a visitor, I want the systems-installation-sprint.md page/feature to load and explain the next useful Stanley Systems step.","/systems-installation-sprint.md returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/systems-installation-sprint.md,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/systems-installation-sprint.md title= links=0 inputs=0,,,Pass
DOC-contact-md,Machine-readable docs,contact.md,"As a visitor, I want the contact.md page/feature to load and explain the next useful Stanley Systems step.","/contact.md returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/contact.md,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/contact.md title= links=0 inputs=0,,,Pass
DOC-about-md,Machine-readable docs,about.md,"As a visitor, I want the about.md page/feature to load and explain the next useful Stanley Systems step.","/about.md returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/about.md,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/about.md title= links=0 inputs=0,,,Pass
DOC-who-stanley-systems-helps-md,Machine-readable docs,who-stanley-systems-helps.md,"As a visitor, I want the who-stanley-systems-helps.md page/feature to load and explain the next useful Stanley Systems step.","/who-stanley-systems-helps.md returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/who-stanley-systems-helps.md,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/who-stanley-systems-helps.md title= links=0 inputs=0,,,Pass
FORM-BLUEPRINT,Forms,Blueprint intake form,"As a visitor/user, I want Blueprint intake form to work as designed.",Visitor can fill the Blueprint intake fields; client validation/progress states are available without broken rendering.,/ai-office-blueprint,Rendered DOM/browser smoke; no outbound submission unless separately approved + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/ai-office-blueprint title=Free AI Office Blueprint | Stanley Systems links=38 inputs=2 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
FORM-CONTACT,Forms,Contact router/form,"As a visitor/user, I want Contact router/form to work as designed.",Visitor can choose contact path and see fields/CTA for contacting Stanley Systems.,/contact,Rendered DOM/browser smoke; no outbound submission unless separately approved + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/contact title=Stanley Systems | AI Office Map links=41 inputs=10 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
FORM-AUDIT-INTAKE,Forms,Audit intake form,"As a visitor/user, I want Audit intake form to work as designed.",Visitor sees assessment intake fields and submit control.,/audit-intake,Rendered DOM/browser smoke; no outbound submission unless separately approved,Pass,code=200 final=https://stanley-systems.com/audit-intake title=AI Office Map Intake | Stanley Systems links=36 inputs=7,,,Pass
CALC-FLOW,Calculator,free invoicing delay calculator,"As a visitor/user, I want free invoicing delay calculator to work as designed.","Visitor can start the calculator, answer questions, reach lead gate/result UI, and see AI Office Map CTA.",/invoicing-delay-cash-flow-calculator,Rendered DOM/browser smoke; no outbound submission unless separately approved + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/invoicing-delay-cash-flow-calculator title=Admin Drag Calculator | Stanley Systems links=1 inputs=0 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
CALC-PAID,Calculator,paid calculator route,"As a visitor/user, I want paid calculator route to work as designed.",Paid calculator route loads its interactive calculator UI.,/invoicing-delay-cash-flow-calculator/paid,Rendered DOM/browser smoke; no outbound submission unless separately approved,Pass,code=200 final=https://stanley-systems.com/invoicing-delay-cash-flow-calculator/paid title=Admin Drag Calculator Results | Stanley Systems links=0 inputs=4,,,Pass
CHECKOUT-SUCCESS,Checkout states,checkout success page,"As a visitor/user, I want checkout success page to work as designed.",Buyer returning from checkout sees success/next-step messaging.,/checkout/success,Rendered DOM/browser smoke; no outbound submission unless separately approved,Pass,code=200 final=https://stanley-systems.com/checkout/success title=Payment received | Stanley Systems links=37 inputs=0,,,Pass
CHECKOUT-CANCEL,Checkout states,checkout cancel page,"As a visitor/user, I want checkout cancel page to work as designed.",Buyer returning from cancelled checkout sees recovery/return CTA.,/checkout/cancel,Rendered DOM/browser smoke; no outbound submission unless separately approved,Pass,code=200 final=https://stanley-systems.com/checkout/cancel title=Payment was not completed | Stanley Systems links=37 inputs=0,,,Pass
CHECKOUT-ONBOARDING,Checkout states,buyer onboarding form,"As a visitor/user, I want buyer onboarding form to work as designed.",Buyer onboarding form renders expected business/contact fields.,/checkout/onboarding,Rendered DOM/browser smoke; no outbound submission unless separately approved,Pass,code=200 final=https://stanley-systems.com/checkout/onboarding title=Paid buyer onboarding | Stanley Systems links=35 inputs=0,,,Pass
LOGIN-PORTAL,Protected app,portal login,"As a visitor/user, I want portal login to work as designed.",User sees portal login without exposing private data.,/login,Rendered DOM/browser smoke; no outbound submission unless separately approved,Pass,code=200 final=https://stanley-systems.com/login title=Stanley Systems | AI Office Map links=2 inputs=3,,,Pass
PORTAL,Protected app,portal app gate,"As a visitor/user, I want portal app gate to work as designed.",Unauthenticated portal route does not expose private data and prompts login/session handling.,/portal,Rendered DOM/browser smoke; no outbound submission unless separately approved,Pass,code=200 final=https://stanley-systems.com/portal title=Stanley Systems | AI Office Map links=0 inputs=0,,,Pass
HYGIENE-dev-bayview-intake,Public hygiene,non-public route /dev/bayview-intake,"As a public visitor, I should not accidentally land on internal/dev tooling from the marketing website.","/dev/bayview-intake should be unavailable, redirected, or clearly protected from normal public website UX.",/dev/bayview-intake,HTTP status/content smoke,Pass,code=200 final=https://stanley-systems.com/dev/bayview-intake title=Stanley Systems | AI Office Map links=1 inputs=16,,,Pass
HYGIENE-dev-bayview-ops-layer,Public hygiene,non-public route /dev/bayview-ops-layer,"As a public visitor, I should not accidentally land on internal/dev tooling from the marketing website.","/dev/bayview-ops-layer should be unavailable, redirected, or clearly protected from normal public website UX.",/dev/bayview-ops-layer,HTTP status/content smoke,Pass,code=200 final=https://stanley-systems.com/dev/bayview-ops-layer title=Stanley Systems | AI Office Map links=0 inputs=0,,,Pass
HYGIENE-dev-customer-revenue-system-v2,Public hygiene,non-public route /dev/customer-revenue-system-v2,"As a public visitor, I should not accidentally land on internal/dev tooling from the marketing website.","/dev/customer-revenue-system-v2 should be unavailable, redirected, or clearly protected from normal public website UX.",/dev/customer-revenue-system-v2,HTTP status/content smoke,Pass,code=200 final=https://stanley-systems.com/dev/customer-revenue-system-v2 title=Repeat Revenue System v2 Preview | Stanley Systems links=2 inputs=0,,,Pass
HYGIENE-dev-customer-revenue-system-v3,Public hygiene,non-public route /dev/customer-revenue-system-v3,"As a public visitor, I should not accidentally land on internal/dev tooling from the marketing website.","/dev/customer-revenue-system-v3 should be unavailable, redirected, or clearly protected from normal public website UX.",/dev/customer-revenue-system-v3,HTTP status/content smoke,Pass,code=200 final=https://stanley-systems.com/dev/customer-revenue-system-v3 title=Repeat Revenue System v3 Preview | Stanley Systems links=2 inputs=0,,,Pass
HYGIENE-dev-customer-revenue-system-v4,Public hygiene,non-public route /dev/customer-revenue-system-v4,"As a public visitor, I should not accidentally land on internal/dev tooling from the marketing website.","/dev/customer-revenue-system-v4 should be unavailable, redirected, or clearly protected from normal public website UX.",/dev/customer-revenue-system-v4,HTTP status/content smoke,Pass,code=200 final=https://stanley-systems.com/dev/customer-revenue-system-v4 title=Repeat Revenue System v4 Preview | Stanley Systems links=2 inputs=0,,,Pass
